UNID_CARTO	CANA_AZUCA	BANANO	AGRICOLA	INGENIERIA
69	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
70	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
71	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
72	4 No apta	4 No apta	3 Bajo	4 Limit_muy fuerte
73	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
74	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
75	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
76	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
77	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
78	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
79	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
80	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
83	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
84	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
85	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
86	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
87	4 No apta	4 No apta	3 Bajo	3 Limit_fuerte
88	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
89	4 No apta	4 No apta	4 Muy bajo	1 Limit_ligera
90	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
91	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
99	4 No apta	4 No apta	4 Muy bajo	1 Limit_ligera
101	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
111	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
113	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
114	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
116	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
117	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
119	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
120	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
121	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
122	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
124	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
125	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
127	2 Mod_apta	2 Mod_apta	4 Muy bajo	2 Limit_moderada
129	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
130	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
131	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
132	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
133	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
134	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
135	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
136	4 No apta	4 No apta	4 Muy bajo	3 Limit_fuerte
137	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
138	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
140	2 Mod_apta	3 Marginal	2 Moderado	3 Limit_fuerte
141	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
142	2 Mod_apta	3 Marginal	2 Moderado	1 Limit_ligera
143	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
144	4 No apta	4 No apta	4 Muy bajo	1 Limit_ligera
147	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
148	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
155	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
